experiment 1;surface bulk 2%;sample 1;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;;combined;;;;experiment 1;surface bulk 2%;sample 1;
;;grader;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;nucleous;myotubes;;nucelous ;myotubes;;;;;grader;nucelous 
;;-32;0.011595235;0.010914852;0.010492525;0.011546398;0.012153361;0.009806158;0.010677986;0.009891124;0.009743677;0.010206299;0.011371348;0.011009088;0.010673384;0.00995199;0.010475507;0.009999436;0.01101204;0.009993026;0.011563176;0.009894609;;0.010975824;0.010321298;;;;;-32;0.010975824
;;-30;0.011621295;0.010667575;0.010265529;0.010991823;0.011515117;0.009852448;0.011492958;0.010362387;0.010329289;0.010243911;0.011869436;0.011056639;0.010603749;0.010175819;0.010554283;0.010084896;0.010745099;0.009906269;0.011030195;0.010404125;;0.011002695;0.010374589;;;;;-30;0.011002695
;;-28;0.010714985;0.010544515;0.010491574;0.010879406;0.01068204;0.010134434;0.010238855;0.010185543;0.010271965;0.009561317;0.012479586;0.011017299;0.010580786;0.009908648;0.009998969;0.009886992;0.010461071;0.00989473;0.010096639;0.009856492;;0.010601647;0.010186938;;;;;-28;0.010601647
;;-26;0.01110552;0.01030184;0.011724061;0.010330103;0.011861946;0.010849961;0.011439782;0.01014398;0.011059324;0.010808565;0.012044522;0.011078131;0.011014962;0.01043836;0.009494902;0.009826452;0.009946912;0.010087862;0.011252813;0.01016334;;0.011094474;0.010402859;;;;;-26;0.011094474
;;-24;0.009868385;0.01037807;0.01194436;0.010007377;0.011037918;0.010913116;0.011685779;0.010206483;0.011055081;0.01067328;0.013318617;0.011380246;0.011701195;0.010599222;0.009169686;0.010143272;0.0101718;0.009952154;0.010493614;0.009890773;;0.011044644;0.010414399;;;;;-24;0.011044644
;;-22;0.010144647;0.010748504;0.010505962;0.010003554;0.010731132;0.011214498;0.011045255;0.010870518;0.010101251;0.010575889;0.012636346;0.011367804;0.012351035;0.010332991;0.009434217;0.010203774;0.010605858;0.010308232;0.01112953;0.009550572;;0.010868523;0.010517634;;;;;-22;0.010868523
;;-20;0.009701471;0.010635905;0.010881806;0.010127095;0.009568228;0.010192905;0.009892215;0.010527426;0.009808432;0.01019634;0.011586628;0.01162996;0.010475748;0.010195304;0.010890267;0.010091497;0.009363426;0.010225939;0.010739804;0.009485684;;0.010290803;0.010330806;;;;;-20;0.010290803
;;-18;0.010096197;0.010414792;0.010002532;0.00989318;0.010239325;0.010449784;0.011085061;0.010218372;0.009842764;0.010306573;0.010836992;0.011573805;0.009533232;0.010228637;0.01217075;0.010459378;0.011505645;0.010310947;0.010748981;0.009524252;;0.010606148;0.010337972;;;;;-18;0.010606148
;;-16;0.01083642;0.010544157;0.009989429;0.009995546;0.010798435;0.009673372;0.011947104;0.010608124;0.010011839;0.010527131;0.011322946;0.011993896;0.009673272;0.010497414;0.011570158;0.010674778;0.011498147;0.010382558;0.011909029;0.010015887;;0.010955678;0.010491286;;;;;-16;0.010955678
;;-14;0.010521764;0.010697678;0.010688158;0.010239758;0.011274253;0.010182043;0.012016607;0.010933968;0.010570523;0.010110316;0.011614799;0.012607417;0.010107083;0.010626526;0.011074339;0.010884268;0.01157778;0.010246608;0.010447031;0.010044752;;0.010989234;0.010657333;;;;;-14;0.010989234
;;-12;0.009878899;0.011138009;0.010375324;0.0099952;0.011285084;0.01045198;0.012701815;0.011717544;0.010910301;0.010163248;0.011071061;0.012034428;0.009719113;0.010309721;0.010208683;0.010761598;0.012400621;0.01082817;0.010761006;0.010572933;;0.010931191;0.010797283;;;;;-12;0.010931191
;;-10;0.009165863;0.011186802;0.011349864;0.010281327;0.010835054;0.010724986;0.011847864;0.011389128;0.011619007;0.010520966;0.010694764;0.010725865;0.01056642;0.010600525;0.011421396;0.011214553;0.013746942;0.011161033;0.012388231;0.010768884;;0.011363541;0.010857407;;;;;-10;0.011363541
;;-8;0.009417532;0.010506445;0.010875632;0.010008121;0.010715759;0.01029095;0.011971571;0.010901033;0.010898901;0.010483588;0.009954294;0.011210463;0.010984927;0.010977355;0.011757681;0.011331659;0.011384337;0.010739997;0.012044066;0.010233681;;0.01100047;0.010668329;;;;;-8;0.01100047
;;-6;0.011212109;0.010708765;0.010682093;0.009810283;0.010057009;0.009966194;0.011603591;0.011228462;0.010592593;0.010120153;0.01199944;0.010757727;0.011126937;0.011009584;0.011395703;0.011108743;0.013034409;0.010851512;0.009451581;0.010428198;;0.011115547;0.010598962;;;;;-6;0.011115547
;;-4;0.011207313;0.010667699;0.011264258;0.010101928;0.010690839;0.010200558;0.011542082;0.010942476;0.010662788;0.010494848;0.009999291;0.010598761;0.009718292;0.010950546;0.012457622;0.010983785;0.012221607;0.010750256;0.010176277;0.010380869;;0.010994037;0.010607173;;;;;-4;0.010994037
;;-2;0.010204139;0.010661869;0.012245135;0.009965016;0.010077921;0.010266311;0.0106856;0.011038301;0.009298598;0.010363789;0.009105799;0.01035631;0.01022175;0.010842708;0.011705057;0.010978364;0.010454495;0.01077517;0.010095822;0.010621962;;0.010409432;0.01058698;;;;;-2;0.010409432
